initial_timeout, pbft,pbft2
0, 0.6871152089777808,0.6910924461025822,
1, 0.6811232762051858,0.6918166049428279,
2, 0.6982459475801005,0.6897433220981728,
3, 0.7034499826290691,0.6984227147923033,
4, 0.7315857362918263,0.7235967853731794,
5, 0.7019791555641477,0.8714783966881642,
6, 0.6728727036247353,1.2255566297049096,
7, 0.7111777609007278,1.5944161413717368,
8, 0.6836831707708202,2.7006889387982453,
9, 0.741136392624273,   ,
10, 0.7351058345507279, ,
11, 0.7161239817844809, ,
12, 0.730098497847064,  ,
13, 0.727605966163115,  ,
14, 0.7166959922651214, ,
15, 0.759302700462902,  ,
16, 0.7057412150862884, ,
17, 0.6983148233965518, ,
18, 0.747440148534326,  ,
19, 0.7511787897354174, ,
20, 0.7269022525607601, ,
21, 0.7346852008353139, ,
22, 0.7019658424119888, ,
23, 0.7620264026381308, ,
24, 0.7309300070115979, ,
25, 0.6925394845728319, ,
26, 0.7173619338803364, ,
27, 0.724820603266696,  ,
28, 0.7401384681147859, ,
29, 0.6427322672366157, ,
30, 0.6705503198135574, ,
31, 0.6920307409166472, ,
32, 0.7336640278842427, ,
33, 0.7038891142557985, ,
34, , ,
35, , ,
36, , ,
37, , ,
38, , ,
39, , ,
40, , ,
41, , ,
42, , ,
43, , ,
44, , ,
45, , ,
46, , ,
47, , ,
48, , ,
49, , ,
50, , ,
51, , ,
52, , ,
53, , ,
54, , ,
55, , ,
56, , ,
57, , ,
58, , ,
59, , ,
60, , ,
61, , ,
62, , ,
63, , ,
64, , ,
65, , ,
66, , ,
67, , ,
68, , ,
69, , ,
70, , ,
71, , ,
72, , ,
73, , ,
74, , ,
75, , ,
76, , ,
77, , ,
78, , ,
79, , ,
80, , ,
81, , ,
82, , ,
83, , ,
84, , ,
85, , ,
86, , ,
87, , ,
88, , ,
89, , ,
90, , ,
91, , ,
92, , ,
93, , ,
94, , ,
95, , ,
96, , ,
97, , ,
98, , ,
99, , ,
100, , ,
