initial_timeout, tendermint, algorand, mir, pbft
0.01, 0.9136779486112769, , 1.334471337795694, ,
0.02, 0.8915484320538279, , 0.9328156959576299, ,
0.03, 0.7677687545617263, , 0.7507996594130157, ,
0.04, 0.8316186404792903, , 0.4802729873710571, ,
0.05, 0.9860235055314261, , 0.4914639972689821, ,
0.06, 0.7323842782528314, , 0.37850926822548875, ,
0.07, 0.6835866726188462, , 0.39322996862899146, ,
0.08, 0.7435494185815159, , 0.39773726964427103, ,
0.09, 0.7615298715829072, , 0.41129512187882, ,
0.10, 0.8159354415676529, 1.5569783939464128, 0.4094329228409194, ,
0.11, 0.866347551600976, 0.9702618260571325, 0.41821429045565667, 0.7173870358854711,
0.12, 0.48798156351494687, 0.39777434067592465, 0.35453874150351206, 0.5800586135355021,
0.13, 0.4403106557520115, 0.33484088703488646, 0.3536928816388586, 0.4791816053864166,
0.14, 0.5016194091354157, 0.32680382797032465, 0.3291314035096315, 0.5130834437747294,
0.15, 0.4781124223008328, 0.36310117548407755, 0.309514697623278, 0.5558654995291007,
0.16, 0.48756018239983395, 0.37001100565722356, 0.2927616483221171, 0.5915780985601836,
0.17, 0.5205098962481619, 0.37706176583296885, 0.2894380308195543, 0.5909028428247113,
0.18, 0.4825752337013782, 0.39227347766994797, 0.31650563454825215, 0.6108159721350026,
0.19, 0.5801395609835389, 0.39951873795049375, 0.284722371892607, 0.6452047994687213,
0.20, 0.6254723177147469, 0.39278094968892063, 0.31526538350057287, 0.6798956753245039,
0.21, 0.6013579959827132, 0.38955002036108227, 0.2780308127838313, 0.6928220980486458,
0.22, 0.6017385611909046, 0.44770297399273085, 0.3044318080024146, 0.7869714613970863,
0.23, 0.7198622367918507, 0.4346262442177206, 0.2934448187664121, 0.8000869961403083,
0.24, 0.7077638372876444, 0.46616490802811594, 0.27716524768394935, 0.8117048712171769,
0.25, 0.72320744219235, 0.435096749255784, 0.299659983003458, 0.8758541121860053,
0.26, 0.7336944293098767, 0.46194381881348456, 0.2988645638093874, 0.83715843299679,
0.27, 0.797725723677527, 0.46126888522869003, 0.2819260983457197, 0.888005752798898,
0.28, 0.8096882083325392, 0.519262243525204, 0.31729392814296553, 0.925097917205175,
0.29, 0.7486657730874006, 0.5065540483251963, 0.29059765382258457, 0.9473233383190609,
0.30, 0.7573555317738054, 0.536560493372712, 0.30647377539807696, 1.0012763191017786,
0.31, 0.8094779086288119, 0.5356738596589343, 0.3174379733783576, 1.0401038382645111,
0.32, 0.8809213826939327, 0.5267198520224441, 0.3023752962672577, 1.0018665170314673,
0.33, 0.9223312211677605, 0.5715865961279389, 0.2857578793835712, 1.0749665196428266,
0.34, 0.8605277936589002, 0.5206339312484669, 0.3172317125172505, 1.1050325608827007,
0.35, 0.9003591118118628, 0.5876977770760449, 0.32042430280251694, 1.1254957728502648,
0.36, 0.995619239974276, 0.5627227678573358, 0.278901462322253, 1.1260628421918235,
0.37, 1.0575773576336915, 0.588255459931791, 0.2976181144118924, 1.2249640445691394,
0.38, 0.9898478923758038, 0.5916094984968762, 0.3033201752211134, 1.2351406955139803,
0.39, 1.0725133554922213, 0.6102177281304613, 0.29064668971655583, 1.2444376607812273,
