initial_timeout,pbft
0.01, 1.0110243351328696,
0.02, 1.068010832521093,
0.03, 1.123349488502184,
0.04, 0.9935100802704165,
0.05, 1.006979606613713,
0.06, 1.0530358365281365,
0.07, 1.038008226137899,
0.08, 0.8277383037884334,
0.09, 0.8475015708485042,
0.10, 0.844449780287231,
0.11, 0.9296193988260296,
0.12, 0.8969270702364223,
0.13, 0.875419794962055,
0.14, 0.8377332169513082,
0.15, 0.7974746827337981,
0.16, 0.7453716424992592,
0.17, 0.7433254683340199,
0.18, 0.7049189167934172,
0.19, 0.7488980734235968,
0.20, 0.7079994362481927,
0.21, 0.8316766200702261,
0.22, 0.82395138243816,
0.23, 0.8903898943091683,
0.24, 0.9377550453164895,
0.25, 0.9457632008634052,
0.26, 0.9081124527590478,
0.27, 0.9147393109029972,
0.28, 0.9432785499634121,
0.29, 1.0301512532103785,
0.30, 1.1197931010440776,
0.31, 0.8271919919377889,
0.32, 0.8506320798839286,
0.33, 0.8786109116576125,
0.34, 0.9022841314908694,
0.35, 0.9220938972837562,
0.36, 0.9486187926452051,
0.37, 0.9741347397656731,
0.38, 0.9957734327689111,
0.39, 1.0174971256908996,
