initial_timeout,tendermint,pbft
0.01, 0.9776245872075483,1.000891308836226,
0.02, 0.9316044441191345,0.9840868681942242,
0.03, 0.699389269239903,0.8558394925786317,
0.04, 0.8153543557706725,0.9716630981211681,
0.05, 0.9558170782238706,1.0419502294217395,
0.06, 0.6606748273914318,0.7358250691936846,
0.07, 0.676618892881336,0.745703697419955,
0.08, 0.735609722917207,0.8040184897487918,
0.09, 0.7976836428495195,0.8733446906636373,
0.10, 0.805383980963647,0.928463459823838,
0.11, 0.844678724466493,1.000922563210794,
0.12, 0.47865073001516956,0.6059621048981555,
0.13, 0.4337881958503718,0.528403157597051,
0.14, 0.41061694463859066,0.5327442501438443,
0.15, 0.5230186787267648,0.5883698668224817,
0.16, 0.49561515228083447,0.5796125194394376,
0.17, 0.5119737512130459,0.65752066343787,
0.18, 0.5276238977809738,0.640205126249937,
0.19, 0.5705603511397416,0.7119546164003454,
0.20, 0.5864308850764757,0.7262768336149585,
0.21, 0.5889820186743534,0.6758136626911149,
0.22, 0.6021462964123039,0.822675195819739,
0.23, 0.6379259643587095,0.7940459989469678,
0.24, 0.7210300519731955,0.9025337870157646,
0.25, 0.6713144011730595,0.8690247908011561,
0.26, 0.7325897478466403,0.887355507216185,
0.27, 0.7570162678500115,0.9474520519010707,
0.28, 0.8517246712542778,1.0100465794652358,
0.29, 0.8512528218876668,0.9640366584925284,
0.30, 0.8621917895078592,1.0095652121119871,
0.31, 0.9191939389476527,0.9230614207585438,
0.32, 0.8825036024192472,0.9499571525875946,
0.33, 0.9889874749807922,0.9769091036197894,
0.34, 0.9665724232835026,1.004060789440961,
0.35, 0.953167756128351,1.030934199992043,
0.36, 1.0519613372643895,1.058011988659071,
0.37, 0.9478159540766288,1.085013622674331,
0.38, 1.0300474412551182,1.1121080339979084,
0.39, 1.1708947074146028,1.1390061298222263,
