initial_timeout,pbft
0.01, 0.047515340046245,
0.02, 0.05809480815709721,
0.03, 0.06952639712975534,
0.04, 0.0813528286320629,
0.05, 0.09329974111174857,
0.06, 0.10511492262926847,
0.07, 0.11711104978929596,
0.08, 0.1291128917894999,
0.09, 0.14099250413231917,
0.10, 0.15301215083228636,
0.11, 0.16494232194449265,
0.12, 0.17698658400328482,
0.13, 0.18901027225682465,
0.14, 0.20101159195674412,
0.15, 0.21296930497861188,
0.16, 0.22500888896044816,
0.17, 0.2370098007476832,
0.18, 0.24898998982695672,
0.19, 0.2609488698754094,
0.20, 0.27293035054609593,
0.21, 0.28495161285967846,
0.22, 0.29694458657558753,
0.23, 0.3089142313999512,
0.24, 0.32091819921533443,
0.25, 0.33291197304037234,
0.26, 0.34492268734293563,
0.27, 0.3569429915628243,
0.28, 0.3689404334754126,
0.29, 0.3809278663948535,
0.30, 0.392930017517364,
0.31, 0.4049350836610248,
0.32, 0.4169213409778709,
0.33, 0.42892137051607254,
0.34, 0.4409503586638396,
0.35, 0.45293945032355537,
0.36, 0.4649308913754789,
0.37, 0.47690972370762696,
0.38, 0.4888938089931906,
0.39, 0.5008899886324797,
0.40, 0.5128968417006141,
