nodeNum, PoSWbft
2, 4.5,
12, 3.3,
22, 2.52,
32, 3.0,
42, 5.62,
52, 7.72,
62, 10.04,
72, 14.46,
82, 17.66,
92, 23.96,
102, 28.46,
112, 33.82,
122, 40.62,
132, 48.18,
142, 53.54,
152, 62.02,
162, 73.86,
172, 79.24,
182, ,
192, 102.2,
202, 117.12,
212, 129.64,
222, 145.48,
232, 151.84,
242, 175.84,
252, 169.5,
262, 135.6,
272, 117.24,
282, 113.1,
292, 115.14,
302, 115.82,
312, 115.7,
322, 116.34,
332, 116.06,
342, 116.7,
352, 116.66,
362, 116.46,
372, 116.56,
382, 116.58,
392, 117.1,
402, 116.92,
412, 117.12,
422, 117.4,
432, 118.14,
442, 117.34,
452, 117.9,
462, 117.82,
472, 117.84,
482, 117.98,
492, 118.06,
502, 118.3,
512, 118.28,
522, 118.8,
532, 118.56,
542, 118.94,
552, 119.22,
562, 118.96,
572, 119.46,
582, 119.3,
592, 119.68,
602, 119.7,
612, 119.76,
622, 119.62,
632, 120.16,
642, 120.12,
652, 121.34,
662, 121.54,
672, 120.14,
682, 120.5,
692, 120.82,
702, 121.06,
712, 121.26,
722, 122.24,
732, 121.08,
742, 122.24,
752, 121.56,
762, 122.0,
772, 121.74,
782, 121.98,
792, 121.86,
802, 122.28,
812, 122.32,
822, 123.06,
832, 123.0,
842, 123.44,
852, 123.96,
862, 123.56,
872, 123.72,
882, 123.88,
892, 123.96,
902, 124.16,
912, 124.28,
922, 124.48,
932, 124.38,
942, 124.64,
952, 124.58,
962, 124.98,
972, 125.14,
982, 125.28,
992, 125.44,
