failednode,pbft
0, 0.44756049092943345,
10, 0.443837054141973,
20, 0.4541976451157412,
30, 0.4573015010393464,
40, 0.4533545209935755,
50, 0.4699586485865229,
60, 0.4522909520925807,
70, 0.46838817654135134,
80, 0.4575749452708006,
90, 0.4993493857157031,
100, 0.46238843399318424,
110, 0.5158581866426631,
120, 0.5363901193604568,
130, 0.6948498739395261,
140, 0.8971789150622251,
150, 1.0046333661747215,
160, 0.9939415692574529,
170, 1.0310746492074618,
180, 0.9962646125984574,
190, 1.0209654656839477,
200, 1.0091485027755476,
210, 0.9865764823789965,
220, 0.9987465290549103,
230, 0.965624642767017,
240, 0.9543471844805043,
250, 1.0379068976035304,
260, 1.0188738561464319,
270, 1.128958385067687,
280, 1.1575119099193953,
290, 1.1198002064664834,
300, 1.0152971329179135,
310, 1.041214620642052,
320, 1.071770575453222,
330, 1.0479304490846744,
340, ,
350, ,
360, ,
370, ,
380, ,
390, ,
400, ,
410, ,
420, ,
430, ,
440, ,
450, ,
460, ,
470, ,
480, ,
490, ,
500, ,
510, ,
520, ,
530, ,
540, ,
550, ,
560, ,
570, ,
580, ,
590, ,
600, ,
610, ,
620, ,
630, ,
640, ,
650, ,
660, ,
670, ,
680, ,
690, ,
700, ,
710, ,
720, ,
730, ,
740, ,
750, ,
760, ,
770, ,
780, ,
790, ,
800, ,
810, ,
820, ,
830, ,
840, ,
850, ,
860, ,
870, ,
880, ,
890, ,
900, ,
910, ,
920, ,
930, ,
940, ,
950, ,
960, ,
970, ,
980, ,
990, ,
1000, 0.0,
