failedNode, PoSWbft
0, 132.28,
10, 119.28,
20, 114.42,
30, 114.4,
40, 115.64,
50, 115.34,
60, 115.64,
70, 114.92,
80, 114.94,
90, 117.14,
100, 116.78,
110, 115.76,
120, 116.18,
130, 116.4,
140, 116.04,
150, 116.2,
160, 116.02,
170, 115.94,
180, 117.54,
190, 117.38,
200, 115.66,
210, 116.16,
220, 116.06,
230, 115.98,
240, 116.04,
250, 115.66,
260, 115.72,
270, 116.1,
280, 116.02,
290, 115.96,
300, 115.88,
310, 115.82,
320, 116.0,
330, 116.52,
340, 116.54,
350, 115.86,
360, 115.92,
370, 116.36,
380, 115.48,
390, 116.04,
400, 116.08,
410, 116.16,
420, 116.92,
430, 116.74,
440, 116.12,
450, 115.92,
460, 116.22,
470, 115.7,
480, 115.6,
490, 115.84,
500, 115.58,
510, 115.96,
520, 115.6,
530, 115.36,
540, 115.34,
550, 115.42,
560, 115.22,
570, 115.72,
580, 115.44,
590, 115.36,
600, 115.5,
610, 115.66,
620, 115.32,
630, 115.46,
640, 115.32,
650, 116.48,
660, 115.2,
670, 115.82,
680, 115.28,
690, 115.08,
700, 115.12,
710, 115.62,
720, 115.26,
730, 115.04,
740, 115.4,
750, 115.2,
760, 114.68,
770, 116.2,
780, 147.18,
790, 188.54,
800, 181.86,
810, ,
820, ,
830, ,
840, ,
850, ,
860, ,
870, ,
880, ,
890, ,
900, ,
910, ,
920, ,
930, ,
940, ,
950, ,
960, ,
970, ,
980, ,
990, ,
1000, 0.0,
