nodeNum, PoSWbft
0, 137.98,
10, 127.72,
20, 125.34,
30, 126.2,
40, 125.3,
50, 125.54,
60, 125.1,
70, 124.76,
80, 124.58,
90, 124.82,
100, 124.68,
110, 124.18,
120, 124.18,
130, 124.04,
140, 124.04,
150, 123.92,
160, 123.98,
170, 123.5,
180, 123.6,
190, 124.44,
200, 124.8,
210, 125.38,
220, 127.06,
230, 124.52,
240, 124.26,
250, 124.58,
260, 134.52,
270, 139.14,
280, 140.36,
290, 136.1,
300, 139.86,
310, 125.96,
320, 121.52,
330, 121.38,
340, 121.04,
350, 120.96,
360, 121.6,
370, 121.42,
380, 121.6,
390, 120.18,
400, 120.52,
410, 120.0,
420, 119.86,
430, 119.88,
440, 119.54,
450, 119.22,
460, 119.04,
470, 119.12,
480, 118.96,
490, 119.02,
500, 118.54,
510, 118.42,
520, 118.46,
530, 118.42,
540, 118.06,
550, 117.96,
560, 117.46,
570, 117.6,
580, 117.54,
590, 117.22,
600, 117.06,
610, 116.92,
620, 116.78,
630, 116.48,
640, 116.54,
650, 116.38,
660, 116.62,
670, 116.62,
680, 116.58,
690, 116.34,
700, 116.36,
710, 116.74,
720, 118.12,
730, 115.2,
740, 115.58,
750, 115.06,
760, 119.7,
770, 115.02,
780, 154.48,
790, 186.02,
800, 179.66,
810, 174.22,
820, 169.97826086956522,
830, 172.45454545454547,
840, ,
850, ,
860, ,
870, ,
880, ,
890, ,
900, ,
910, ,
920, ,
930, ,
940, ,
950, ,
960, ,
970, ,
980, ,
990, ,
1000, 0.02,
