failedNode,  pbft
0,3228.46
10,3151.08
20,3143.06
30,3372.76
40,3091.26
50,3201.54
60,3081.36
70,3038.34
80,3150.72
90, NaN
100,3107.94
110,2983.2
120,3129.74
130,4066.44
140,4953.26
150,5139.24
160,5336.72
170, NaN
180,5148.68
190,5058.16
200, NaN
210, NaN
220, NaN
230,4372.66
240, NaN
250, NaN
260, NaN
270, NaN
280, NaN
290, NaN
300, NaN
310, NaN
320, NaN
330, NaN
340, NaN
350, NaN
360, NaN
370, NaN
380, NaN
390, NaN
400, NaN
410, NaN
420, NaN
430, NaN
440, NaN
450, NaN
460, NaN
470, NaN
480, NaN
490, NaN
500, NaN
510, NaN
520, NaN
530, NaN
540, NaN
550, NaN
560, NaN
570, NaN
580, NaN
590, NaN
600, NaN
610, NaN
620, NaN
630, NaN
640, NaN
650, NaN
660, NaN
670, NaN
680, NaN
690, NaN
700, NaN
710, NaN
720, NaN
730, NaN
740, NaN
750, NaN
760, NaN
770, NaN
780, NaN
790, NaN
800, NaN
810, NaN
820, NaN
830, NaN
840, NaN
850, NaN
860, NaN
870, NaN
880, NaN
890, NaN
900, NaN
910, NaN
920, NaN
930, NaN
940, NaN
950, NaN
960, NaN
970, NaN
980, NaN
990, NaN
1000, NaN
