nodeNum, PoSWbft
2, 4.18,
12, 3.18,
22, 2.6,
32, 3.1,
42, 5.48,
52, 6.1,
62, 8.76,
72, 10.2,
82, 15.42,
92, 17.98,
102, 25.06,
112, 26.56,
122, 31.5,
132, 38.3,
142, 38.48,
152, 50.88,
162, 55.88,
172, 59.3,
182, 62.22,
192, 79.0,
202, 82.84,
212, 87.42,
222, 97.86,
232, 108.24,
242, 124.84,
252, NaN,
262, 111.82,
272, 116.36,
282, 115.56,
292, 115.78,
302, 116.7,
312, 117.08,
322, 116.88,
332, 116.62,
342, 117.66,
352, 117.56,
362, 117.7,
372, 117.96,
382, 118.66,
392, 118.2,
402, 118.38,
412, 118.42,
422, 118.52,
432, 118.74,
442, 119.78,
452, 119.94,
462, 120.08,
472, 120.34,
482, 119.68,
492, 119.7,
502, 119.74,
512, 119.82,
522, 120.42,
532, 120.24,
542, 120.14,
552, 120.58,
562, 120.82,
572, 120.82,
582, 120.94,
592, 121.28,
602, 121.2,
612, 121.18,
622, 121.1,
632, 121.26,
642, 121.56,
652, 121.72,
662, 122.06,
672, 122.2,
682, 122.3,
692, 122.4,
702, 122.96,
712, 122.3,
722, 122.7,
732, 122.9,
742, 122.4,
752, 123.14,
762, 123.08,
772, 124.18,
782, 123.54,
792, 124.82,
802, 124.76,
812, 126.32,
822, 125.94,
832, 123.9,
842, 124.22,
852, 124.26,
862, 125.0,
872, 124.78,
882, 125.44,
892, 124.84,
902, 124.98,
912, 126.5,
922, 125.7,
932, 125.56,
942, 125.9,
952, 129.4,
962, 126.94,
972, 125.92,
982, 126.56,
992, 126.72,
