nodeNum,  pbft
2, 3.74,
12, 2.62,
22, 3.32,
32, 2.84,
42, 5.12,
52, 6.82,
62, 9.78,
72, 13.42,
82, 15.98,
92, 22.04,
102, 32.02,
112, 33.7,
122, ,
132, 44.96,
142, 52.9,
152, 63.06,
162, 70.48,
172, 82.08,
182, 91.78,
192, 102.66,
202, 110.76,
212, 129.34,
222, 147.88,
232, 157.98,
242, ,
252, 190.8,
262, 201.36,
272, 216.7,
282, 236.4,
292, 267.5,
302, 274.02,
312, 291.52,
322, ,
332, 338.78,
342, ,
352, 367.7,
362, 406.44,
372, 423.48,
382, 462.22,
392, 500.46,
402, 517.46,
412, ,
422, 583.64,
432, 610.34,
442, 634.64,
452, 699.24,
462, 698.08,
472, 738.96,
482, 776.84,
492, 815.96,
502, 855.16,
512, ,
522, 1012.28,
532, 984.5,
542, 1025.56,
552, 1099.58,
562, 1132.94,
572, 1207.5,
582, 1220.88,
592, 1291.18,
602, 1352.24,
612, ,
622, ,
632, 1658.88,
642, 1722.56,
652, ,
662, 1926.92,
672, ,
682, 2166.64,
692, 2100.28,
702, 2109.74,
712, 2116.92,
722, 2237.96,
732, ,
742, 2352.66,
752, 2419.7,
762, 2571.06,
772, ,
782, 2698.06,
792, 2762.84,
802, 2800.58,
812, 2975.9,
822, 3060.92,
832, 2961.54,
842, 3110.94,
852, ,
862, 3497.66,
872, 3680.0,
882, 3906.22,
892, 4131.92,
902, 4075.84,
912, 3922.32,
922, 3900.96,
932, 4170.68,
942, 4225.42,
952, 4320.34,
962, 4622.94,
972, 4723.76,
982, ,
992, ,
