nodenum,duration
2, 0.7,
12, 1.26,
22, 1.46,
32, 3.04,
42, 4.92,
52, 5.66,
62, 8.52,
72, 10.88,
82, 13.18,
92, 17.0,
102, 22.46,
112, 23.94,
122, 29.46,
132, 37.84,
142, 39.48,
152, 51.08,
162, 56.04,
172, 59.44,
182, 62.12,
192, 74.0,
202, 79.56,
212, 98.52,
222, 109.46,
232, 104.72,
242, 115.9,
252, 135.22,
262, 164.54,
272, 168.24,
282, 176.48,
292, 190.44,
302, 208.72,
312, 229.18,
322, 232.76,
332, 268.04,
342, 262.02,
352, 304.02,
362, 307.76,
372, 332.18,
382, 369.62,
392, 356.76,
402, 457.9,
412, 459.88,
422, 476.52,
432, 514.14,
442,  ,
452, 569.04,
462,  ,
472, 779.64,
482, 868.3,
492, 882.5,
502, 953.4,
512, 1026.72,
522, 975.96,
532, 1034.8,
542, 1180.0,
552, 1217.42,
562, 1226.98,
572, 1292.44,
582, 1433.48,
592, 1418.68,
602, 1504.42,
612, 1658.2,
622, 1534.76,
632, 1762.1,
642, 1643.16,
652, 1802.26,
662, 2039.22,
672, 1987.88,
682, 2200.9,
692, 1901.26,
702, 2050.64,
712, 2036.66,
722, 1956.64,
732, 2038.92,
742, 2188.18,
752, 2219.1,
762, 2525.98,
772, 2598.02,
782, 2565.46,
792, 2685.3,
802, 2760.94,
812, 3160.5,
822, 3096.68,
832, 3289.86,
842, 4098.8,
852, 2952.8,
862, 3347.7,
872, 3259.8,
882, 3407.08,
892, 3325.5,
902, 3791.76,
912, 3966.0,
922,  ,
932, 3746.46,
942, 4163.18,
952, 4270.58,
962, 4313.7,
972, 4273.5,
982, 4019.06,
992, 3996.98,
