nodeNum,  pbft
2, 3.7,
12, 3.16,
22, 2.34,
32, 2.78,
42, 4.94,
52, NaN,
62, NaN,
72, 13.16,
82, 16.34,
92, 21.68,
102, NaN,
112, 32.24,
122, 38.18,
132, 44.34,
142, 52.1,
152, 60.64,
162, 70.62,
172, NaN,
182, NaN,
192, 104.08,
202, 112.52,
212, NaN,
222, 139.56,
232, 154.1,
242, 165.4,
252, NaN,
262, 198.42,
272, NaN,
282, 238.24,
292, 251.52,
302, 271.06,
312, 296.18,
322, NaN,
332, NaN,
342, NaN,
352, 376.28,
362, 404.9,
372, 426.06,
382, 451.54,
392, 473.04,
402, NaN,
412, NaN,
422, 563.24,
432, 592.68,
442, 626.82,
452, 670.84,
462, NaN,
472, 733.44,
482, NaN,
492, 808.28,
502, 924.38,
512, NaN,
522, 924.38,
532, NaN,
542, NaN,
552, NaN,
562, 1105.36,
572, NaN,
582, 1185.62,
592, 1211.02,
602, NaN,
612, 1332.9,
622, 1371.14,
632, NaN,
642, NaN,
652, NaN,
662, NaN,
672, 1684.24,
682, 1768.66,
692, 1834.14,
702, 1937.26,
712, 1933.18,
722, NaN,
732, NaN,
742, NaN,
752, 2268.04,
762, 2325.62,
772, NaN,
782, 2669.32,
792, NaN,
802, 2704.46,
812, 2733.58,
822, 2889.9,
832, NaN,
842, 3039.46,
852, 3133.72,
862, NaN,
872, 3276.62,
882, 3498.62,
892, 3593.08,
902, 3663.06,
912, NaN,
922, 3807.52,
932, 3947.1,
942, 4057.72,
952, 4233.28,
962, 4685.86,
972, 4732.58,
982, 5769.56,
992, NaN,
