nodenum	Duration0.1	Duration0.15	Duration0.2
2	0.7	3.74	3.7
12	1.26	2.62	3.16
22	1.46	3.32	2.34
32	3.04	2.84	2.78
42	4.92	5.12	4.94
52	5.66	6.82	 NaN
62	8.52	9.78	 NaN
72	10.88	13.42	13.16
82	13.18	15.98	16.34
92	17	22.04	21.68
102	22.46	32.02	 NaN
112	23.94	33.7	32.24
122	29.46	 NaN	38.18
132	37.84	44.96	44.34
142	39.48	52.9	52.1
152	51.08	63.06	60.64
162	56.04	70.48	70.62
172	59.44	82.08	 NaN
182	62.12	91.78	 NaN
192	74	102.66	104.08
202	79.56	110.76	112.52
212	98.52	129.34	 NaN
222	109.46	147.88	139.56
232	104.72	157.98	154.1
242	115.9	 NaN	165.4
252	135.22	190.8	 NaN
262	164.54	201.36	198.42
272	168.24	216.7	 NaN
282	176.48	236.4	238.24
292	190.44	267.5	251.52
302	208.72	274.02	271.06
312	229.18	291.52	296.18
322	232.76	 NaN	 NaN
332	268.04	338.78	 NaN
342	262.02	 NaN	 NaN
352	304.02	367.7	376.28
362	307.76	406.44	404.9
372	332.18	423.48	426.06
382	369.62	462.22	451.54
392	356.76	500.46	473.04
402	457.9	517.46	 NaN
412	459.88	 NaN	 NaN
422	476.52	583.64	563.24
432	514.14	610.34	592.68
442	  	634.64	626.82
452	569.04	699.24	670.84
462	  	698.08	 NaN
472	779.64	738.96	733.44
482	868.3	776.84	 NaN
492	882.5	815.96	808.28
502	953.4	855.16	924.38
512	1026.72	 NaN	 NaN
522	975.96	1012.28	924.38
532	1034.8	984.5	 NaN
542	1180	1025.56	 NaN
552	1217.42	1099.58	 NaN
562	1226.98	1132.94	1105.36
572	1292.44	1207.5	 NaN
582	1433.48	1220.88	1185.62
592	1418.68	1291.18	1211.02
602	1504.42	1352.24	 NaN
612	1658.2	 NaN	1332.9
622	1534.76	 NaN	1371.14
632	1762.1	1658.88	 NaN
642	1643.16	1722.56	 NaN
652	1802.26	 NaN	 NaN
662	2039.22	1926.92	 NaN
672	1987.88	 NaN	1684.24
682	2200.9	2166.64	1768.66
692	1901.26	2100.28	1834.14
702	2050.64	2109.74	1937.26
712	2036.66	2116.92	1933.18
722	1956.64	2237.96	 NaN
732	2038.92	 NaN	 NaN
742	2188.18	2352.66	 NaN
752	2219.1	2419.7	2268.04
762	2525.98	2571.06	2325.62
772	2598.02	 NaN	 NaN
782	2565.46	2698.06	2669.32
792	2685.3	2762.84	 NaN
802	2760.94	2800.58	2704.46
812	3160.5	2975.9	2733.58
822	3096.68	3060.92	2889.9
832	3289.86	2961.54	 NaN
842	4098.8	3110.94	3039.46
852	2952.8	 NaN	3133.72
862	3347.7	3497.66	 NaN
872	3259.8	3680	3276.62
882	3407.08	3906.22	3498.62
892	3325.5	4131.92	3593.08
902	3791.76	4075.84	3663.06
912	3966	3922.32	 NaN
922	  	3900.96	3807.52
932	3746.46	4170.68	3947.1
942	4163.18	4225.42	4057.72
952	4270.58	4320.34	4233.28
962	4313.7	4622.94	4685.86
972	4273.5	4723.76	4732.58
982	4019.06	 NaN	5769.56
992	3996.98	 NaN	 NaN
